--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 48|MIMITOSS  |STEEL            |  50|  60|  55|  55|  45|  40|CRACHIN     |-------     |LETTRE TROPI (common), CT44 (rare)
 49|AEROMITE  |STEEL            |  60|  70|  75|  65|  90|  90|CRACHIN     |-------     |
 50|TAUPIQUEUR|FIGHTING         |  55|  45|  25|  35|  95|  10|DEGUISEMENT |ARMURBASTON |
 51|TRIOPIKEUR|FIGHTING         |  80|  70|  50|  50| 120|  35|DEGUISEMENT |ARMURBASTON |CT18 (rare)
 52|MIAOUSS   |FIRE             |  35|  90|  45|  40|  40|  40|CRACHIN     |-------     |
 53|PERSIAN   |FIRE/GROUND      |  60| 115|  70|  65|  65|  65|CRACHIN     |-------     |
 54|PSYKOKWAK |ROCK             |  55|  50|  48|  50|  65|  52|MAGNEPIEGE  |SECHERESSE  |POUDRECLAIRE (rare)
 55|AKWAKWAK  |ROCK             |  85|  80|  78|  80|  95|  82|MAGNEPIEGE  |SECHERESSE  |RUNE SORT (100%)
 56|FEROSINGE |GHOST            |  40|  35|  35|  70|  80|  45|CORPS SAIN  |ENGRAIS     |
 57|COLOSSINGE|GHOST            |  65|  60|  60|  95| 105|  70|CORPS SAIN  |ENGRAIS     |
 58|CANINOS   |FIGHTING         |  55|  70|  50|  45|  60|  70|VENTOUSE    |-------     |BAIE ORAN (100%)
 59|ARCANIN   |FIGHTING         |  90| 100|  80|  80|  95| 110|VENTOUSE    |-------     |CT26 (100%)
 60|PTITARD   |GROUND           |  40|  40|  50|  40|  40|  90|COLOFORCE   |TORCHE      |AIMANT (common)
 61|TETARTE   |GROUND/GHOST     |  50|  50|  65|  65|  65|  90|COLOFORCE   |TORCHE      |
 62|TARTARD   |FIRE             |  70|  95|  70|  90|  95|  90|PRESSION    |-------     |MAX ELIXIR (rare)
 63|ABRA      |DRAGON           |  15|  55| 105|  20|  25|  90|PARATONNERRE|CIEL GRIS   |CT07 (rare)
 64|KADABRA   |DRAGON           |  30|  70| 120|  35|  40| 105|PARATONNERRE|CIEL GRIS   |BEC POINTU (common), PIERRE EAU (rare)
 65|ALAKAZAM  |DRAGON           |  45|  95| 135|  50|  55| 120|PARATONNERRE|CIEL GRIS   |MUSCLE + (rare)
 66|MACHOC    |WATER/STEEL      |  35|  35|  35|  80|  50|  70|METEO       |POINT POISON|FAIBLO BALL (100%)
 67|MACHOPEUR |WATER/STEEL      |  60|  50|  45| 100|  70|  80|METEO       |POINT POISON|BAIE PALMA (common), HUILE MAX (rare)
 68|MACKOGNEUR|WATER/STEEL      |  85|  65|  55| 130|  80|  90|METEO       |POINT POISON|PIERREPLANTE (rare)
 69|CHETIFLOR |FLYING           |  30|  70|  75|  40|  50|  35|GLISSADE    |ARMURBASTON |FER (100%)
 70|BOUSTIFLOR|FLYING           |  45|  85|  90|  55|  65|  50|GLISSADE    |ARMURBASTON |BAIE FRISTA (common), CT12 (rare)
 71|EMPIFLOR  |FLYING           |  70| 100| 105|  70|  80|  65|GLISSADE    |ARMURBASTON |
 72|TENTACOOL |ELECTRIC         |  40|  40|  50|  70|  35| 100|GLISSADE    |-------     |
 73|TENTACRUEL|ELECTRIC/PSYCHIC |  80|  70|  80| 100|  65| 120|GLISSADE    |-------     |
 74|RACAILLOU |DARK/PSYCHIC     |  40|  30|  20|  30|  80| 100|PARATONNERRE|MOITEUR     |OEUF CHANCE (rare)
 75|GRAVALANCH|DARK/PSYCHIC     |  55|  45|  35|  45|  95| 115|PARATONNERRE|MOITEUR     |
 76|GROLEM    |DARK/PSYCHIC     |  80|  55|  45|  65| 120| 130|PARATONNERRE|MOITEUR     |ELIXIR (common), FOUL. BLEU (rare)
 77|PONYTA    |DRAGON           |  65|  90|  85|  65|  50|  55|ATTENTION   |-------     |MULTI EXP (common), CT34 (rare)
 78|GALOPA    |DRAGON           |  80| 105| 100|  80|  65|  70|ATTENTION   |-------     |GRANDE PERLE (common)
 79|RAMOLOSS  |PSYCHIC          |  40|  65|  65|  40|  15|  90|TETE DE ROC |ESPRIT VITAL|LETTRE COOL (common), POUDRE SOIN (rare)
 80|FLAGADOSS |POISON/DARK      |  75|  80| 110|  95|  30| 100|AIR LOCK    |CALQUE      |
 81|MAGNETI   |NORMAL           |  35|  95|  70|  55|  45|  25|MARQUE OMBRE|RAMASSAGE   |BAIE WIKI (common)
 82|MAGNETON  |NORMAL           |  60| 120|  95|  70|  70|  50|MARQUE OMBRE|RAMASSAGE   |BAIE FRAMBY (common), CT15 (rare)
 83|CANARTICHO|NORMAL           |  55|  65|  62|  60|  52|  58|GLUE        |MUE         |
 84|DODUO     |ICE/WATER        |  85|  35|  75|  35|  45|  35|VACCIN      |-------     |
 85|DODRIO    |ICE/WATER        | 110|  60| 100|  60|  70|  60|VACCIN      |-------     |
 86|OTARIA    |ICE              |  65|  45|  70|  45|  55|  45|SUINTEMENT  |ABSORB EAU  |CARBONE (100%)
 87|LAMANTINE |ICE/BUG          |  90|  70|  95|  70|  80|  70|SUINTEMENT  |ABSORB EAU  |
 88|TADMORV   |FIRE/PSYCHIC     |  80|  50|  40|  50|  80|  25|MEDIC NATURE|CACOPHONIE  |
 89|GROTADMORV|FIRE/PSYCHIC     | 105| 100|  65|  75| 105|  50|MEDIC NATURE|CACOPHONIE  |
 90|KOKIYAS   |FLYING/DARK      |  65|  30|  40|  25| 100|  45|POINT POISON|-------     |
 91|CRUSTABRI |FLYING/DARK      |  95|  50|  70|  45| 180|  85|POINT POISON|-------     |TOTAL SOIN (common), CT44 (rare)
 92|FANTOMINUS|BUG/ELECTRIC     |  35| 100|  35|  80|  30|  30|POSE SPORE  |ARMURBASTON |BAIE MANGOU (common), BAIE WIKI (rare)
 93|SPECTRUM  |BUG/ELECTRIC     |  55| 115|  50|  95|  45|  45|POSE SPORE  |ARMURBASTON |CT34 (common)
 94|ECTOPLASMA|BUG/ELECTRIC     |  75| 130|  65| 110|  60|  60|POSE SPORE  |ARMURBASTON |
 95|ONIX      |ICE              |  30|  35| 160|  45|  70|  45|TORCHE      |-------     |BAIE LONME (common)
 96|SOPORIFIK |GHOST            |  43|  90|  60|  45|  48|  42|ANTI-BRUIT  |TURBO       |BAIE ABRIKO (rare)
 97|HYPNOMADE |GHOST/GROUND     |  73| 115|  85|  70|  73|  67|ANTI-BRUIT  |TURBO       |CT02 (common), SPECIAL + (rare)
 98|KRABBY    |ICE/WATER        | 105|  50|  90|  30|  25|  25|GLUE        |CRAN        |ANTI-PARA (rare)
 99|KRABBOSS  |ICE/WATER        | 130|  75| 115|  55|  50|  50|GLUE        |CRAN        |EAU FRAICHE (common), HERBEBLANCHE (rare)
100|VOLTORBE  |FLYING           |  40|  55|  30|  50| 100|  55|ATTENTION   |SERENITE    |BAIE GOWAV (rare)
101|ELECTRODE |FLYING/STEEL     |  60|  80|  50|  70| 140|  80|ATTENTION   |SERENITE    |
102|NOEUNOEUF |DARK             |  45|  60|  60|  40|  80|  40|COLOFORCE   |MOITEUR     |
103|NOADKOKO  |DARK             |  65| 125|  95|  95|  85|  55|COLOFORCE   |MOITEUR     |
104|OSSELAIT  |GROUND/FIGHTING  |  50|  50|  95|  40|  35|  50|PUANTEUR    |POSE SPORE  |CT27 (100%)
105|OSSATUEUR |GROUND/FIGHTING  |  80|  60| 110|  50|  45|  80|PUANTEUR    |POSE SPORE  |
106|KICKLEE   |NORMAL/DARK      | 120|  50|  87| 110|  53|  35|GLUE        |-------     |GRELOT COQUE (100%)
107|TYGNON    |FIGHTING         | 105|  79|  50| 110|  35|  76|MAGNEPIEGE  |-------     |CT33 (common)
108|EXCELANGUE|GROUND/STEEL     |  75|  60|  30|  55|  75|  90|GARDE MYSTIK|VOILE SABLE |CENDRESACREE (rare)
109|SMOGO     |POISON/FIRE      |  35|  60|  45|  65|  40|  95|ATTENTION   |SUINTEMENT  |
110|SMOGOGO   |POISON/FIRE      |  60|  85|  70|  90|  65| 120|ATTENTION   |SUINTEMENT  |
111|RHINOCORNE|PSYCHIC          |  95|  25|  85|  80|  30|  30|VOILE SABLE |-------     |
112|RHINOFEROS|PSYCHIC/ELECTRIC | 120|  40| 130| 105|  45|  45|VOILE SABLE |-------     |
113|LEVEINARD |STEEL            | 105|   5| 250|   5|  50|  35|CRAN        |-------     |CT50 (rare)
114|SAQUEDENEU|POISON           | 100|  65|  60| 115|  55|  40|OEIL COMPOSE|-------     |
115|KANGOUREX |DARK             |  95|  40| 105|  80|  80|  90|ISOGRAISSE  |-------     |FAIBLO BALL (rare)
116|HYPOTREMPE|FIGHTING         |  70|  60|  30|  70|  40|  25|MEDIC NATURE|ECAILLE SPE.|
117|HYPOCEAN  |FIGHTING         |  95|  85|  55|  95|  65|  45|MEDIC NATURE|ECAILLE SPE.|
118|POISSIRENE|ICE/FIRE         |  67|  45|  60|  35|  50|  63|MEDIC NATURE|TETE DE ROC |
119|POISSOROY |ICE/FIRE         |  92|  80|  65|  65|  80|  68|MEDIC NATURE|TETE DE ROC |FLUTE JAUNE (rare)
120|STARI     |ROCK/BUG         |  55|  45|  30|  85|  70|  55|TETE DE ROC |-------     |
121|STAROSS   |ROCK/BUG         |  85|  75|  60| 115| 100|  85|TETE DE ROC |-------     |BAIE PITAYE (rare)
122|M. MIME   |PSYCHIC/BUG      |  40|  45| 100|  65|  90| 120|TURBO       |DEGUISEMENT |CT26 (100%)
123|INSECATEUR|ROCK/GHOST       | 110|  80|  70|  80| 105|  55|ECRAN FUMEE |SYNCHRO     |PP MAX (common)
124|LIPPOUTOU |NORMAL/DARK      |  95|  95|  65|  50| 115|  35|MINUS       |-------     |BAIE GOWAV (100%)
125|ELEKTEK   |ROCK/NORMAL      |  95|  57|  65|  85|  83| 105|SUINTEMENT  |-------     |SABLE DOUX (common)
126|MAGMAR    |DRAGON/GRASS     | 100|  65|  95|  85|  93|  57|ESPRIT VITAL|-------     |RUNE PURIF. (common), BAIE FRAMBY (rare)
127|SCARABRUTE|ROCK/ELECTRIC    |  65|  55| 100|  85| 125|  70|HYPER CUTTER|ABSORB EAU  |ANTI-PARA (common)
128|TAUROS    |STEEL/GHOST      |  40| 100|  95|  75|  70| 110|REGARD VIF  |-------     |
129|MAGICARPE |GRASS            |  10|  55|  15|  20|  20|  80|ECHAUFFEMENT|-------     |
130|LEVIATOR  |GRASS            | 125|  79|  60|  95| 100|  81|ECHAUFFEMENT|-------     |
131|LOKHLASS  |FIRE/FIGHTING    |  60| 130|  80|  85|  85|  95|ARMUMAGMA   |METEO       |CT04 (common), BAIE SITRUS (rare)
132|METAMORPH |GHOST/BUG        |  48|  48|  48|  48|  48|  48|GLUE        |-------     |
133|EVOLI     |ROCK             |  45|  65|  55|  50|  55|  55|PIEGE       |-------     |FLUTE JAUNE (common), MASSE OS (rare)
134|AQUALI    |WATER/GHOST      | 110|  95|  65|  65|  60| 130|PLUS        |-------     |
135|VOLTALI   |ICE/STEEL        |  65|  95|  65| 110|  60| 130|CACOPHONIE  |TORCHE      |DENT OCEAN (common), LETTRE BOIS (rare)
136|PYROLI    |ELECTRIC/FLYING  |  65| 110|  60|  65|  95| 130|ECRAN FUMEE |-------     |
137|PORYGON   |POISON           |  65|  70|  40|  75|  85|  60|CUVETTE     |-------     |
138|AMONITA   |GHOST            |  35|  55|  35|  90| 100|  40|FERMETE     |-------     |
139|AMONISTAR |GHOST            |  70|  70|  55| 115| 125|  60|FERMETE     |-------     |RAPPEL (common), CO. TREFONDS (rare)
140|KABUTO    |PSYCHIC/FIGHTING |  55|  30|  90|  80|  55|  45|PRESSION    |-------     |BALLELUMIERE (common)
141|KABUTOPS  |PSYCHIC/FIGHTING |  65|  60| 105| 115|  80|  70|PRESSION    |-------     |
142|PTERA     |ROCK/WATER       | 130|  75| 105|  80|  65|  60|PEAU DURE   |CHLOROPHYLE |SAFARI BALL (common), POTION (rare)
143|RONFLEX   |ICE/ELECTRIC     |  30| 110| 110|  65|  65| 160|CALQUE      |MUE         |BAIE KIWAN (100%)
144|ARTIKODIN |GHOST            |  85|  85| 125|  90| 100|  95|CRAN        |-------     |
145|ELECTHOR  |GRASS            |  90|  90| 125| 100|  85|  90|CALQUE      |MINUS       |
146|SULFURA   |BUG              |  85|  90|  90| 100|  90| 125|ECRAN POUDRE|-------     |PEAU METAL (common), PROTEINE (rare)
147|MINIDRACO |WATER            |  50|  41|  50|  64|  45|  50|REGARD VIF  |METEO       |ANTIGEL (100%)
148|DRACO     |WATER            |  70|  61|  70|  84|  65|  70|REGARD VIF  |METEO       |
149|DRACOLOSSE|WATER            | 100|  91|  80| 134|  95| 100|REGARD VIF  |METEO       |POUDRECLAIRE (common)
150|MEWTWO    |BUG/FIRE         |  90|  90| 110| 106| 130| 154|VACCIN      |RAMASSAGE   |HYPER POTION (common), FOUL. BLEU (rare)
151|MEW       |POISON/PSYCHIC   | 100| 100| 100| 100| 100| 100|ABSENTEISME |ARMURBASTON |CT33 (100%)
152|GERMIGNON |BUG              |  65|  45|  65|  45|  49|  49|CRACHIN     |-------     |ZINC (rare)
153|MACRONIUM |BUG              |  80|  60|  80|  60|  63|  62|CRACHIN     |-------     |
154|MEGANIUM  |BUG              | 100|  80| 100|  80|  83|  82|CRACHIN     |-------     |
155|HERICENDRE|PSYCHIC          |  50|  65|  60|  39|  52|  43|ANTI-BRUIT  |-------     |CT15 (rare)
156|FEURISSON |PSYCHIC          |  65|  80|  80|  58|  64|  58|ANTI-BRUIT  |-------     |
157|TYPHLOSION|PSYCHIC/FIRE     |  85| 100| 109|  78|  84|  78|ANTI-BRUIT  |-------     |
158|KAIMINUS  |GROUND/GRASS     |  50|  65|  48|  64|  44|  43|STATIK      |-------     |BIS BALL (rare)
159|CROCRODIL |GROUND/GRASS     |  65|  80|  63|  80|  59|  58|STATIK      |-------     |
160|ALIGATUEUR|GROUND/GRASS     |  85| 105|  83| 100|  79|  78|STATIK      |-------     |BAIE MANGOU (rare)
161|FOUINETTE |PSYCHIC          |  35|  20|  35|  46|  45|  34|COQUE ARMURE|-------     |ELIXIR (common), GLACETERNEL (rare)
162|FOUINAR   |PSYCHIC          |  85|  90|  45|  76|  55|  64|COQUE ARMURE|-------     |
163|HOOTHOOT  |FIGHTING         |  60|  56|  30|  30|  50|  36|FERMETE     |-------     |
164|NOARFANG  |FIGHTING         | 100|  96|  50|  50|  70|  76|FERMETE     |-------     |FLUTE BLEUE (rare)
165|COXY      |FLYING           |  55|  40|  80|  20|  30|  40|PIEGE       |LUMIATIRANCE|CT36 (common), BAND. CHOIX (rare)
166|COXYCLAQUE|FLYING           |  85|  55| 110|  35|  50|  55|PIEGE       |LUMIATIRANCE|
167|MIMIGAL   |BUG              |  40|  40|  40|  60|  40|  30|PLUS        |-------     |
168|MIGALOS   |BUG              |  70|  70|  60|  90|  60|  40|PLUS        |-------     |CT20 (common), CT29 (rare)
169|NOSTENFER |ICE              |  90|  80| 130|  80|  85|  70|SECHERESSE  |OEIL COMPOSE|
170|LOUPIO    |GRASS            |  38|  75|  56|  67|  56|  38|ANTI-BRUIT  |-------     |CT35 (common), ATTAQUE + (rare)
171|LANTURN   |GRASS/DARK       |  58| 125|  76|  67|  76|  58|ANTI-BRUIT  |-------     |
172|PICHU     |BUG              |  60|  35|  15|  35|  40|  20|CORPS SAIN  |-------     |ANTIGEL (rare)
173|MELO      |BUG              |  25|  28|  15|  50|  45|  55|ABSORB VOLT |-------     |
174|TOUDOUDOU |GHOST            |  90|  40|  15|  30|  15|  20|GARDE MYSTIK|-------     |
175|TOGEPI    |DRAGON           |  20|  35|  65|  65|  40|  20|CRAN        |-------     |
176|TOGETIC   |DRAGON           |  40|  55| 105|  85|  80|  40|CRAN        |-------     |FOUL. ROSE (common), PIC VENIN (rare)
177|NATU      |WATER/DARK       |  70|  50|  45|  45|  40|  70|VENTOUSE    |ENGRAIS     |
178|XATU      |WATER/DARK       |  95|  75|  70|  70|  65|  95|VENTOUSE    |ENGRAIS     |
179|WATTOUAT  |GROUND/PSYCHIC   |  40|  65|  35|  40|  45|  55|CORPS SAIN  |COQUE ARMURE|ECAILLEDRACO (common)
180|LAINERGIE |GROUND/PSYCHIC   |  55|  80|  45|  55|  60|  70|CORPS SAIN  |COQUE ARMURE|
181|PHARAMP   |GROUND/PSYCHIC   |  85| 115|  55|  75|  90|  90|CORPS SAIN  |COQUE ARMURE|
182|JOLIFLOR  |FIGHTING/WATER   |  75|  50|  95| 100|  90|  80|DEGUISEMENT |-------     |
183|MARILL    |GRASS            |  50|  20|  20|  70|  50|  40|SUINTEMENT  |-------     |BAIE PAPAYA (common)
184|AZUMARILL |GRASS/POISON     |  80|  50|  60| 100|  80|  50|SUINTEMENT  |-------     |
185|SIMULARBRE|DRAGON/ELECTRIC  |  30| 115|  65|  30|  70| 100|MINUS       |CIEL GRIS   |CARBONE (rare)
186|TARPAUD   |ICE              |  90| 100|  75|  70|  75|  90|CUVETTE     |ENGRAIS     |
187|GRANIVOL  |STEEL            |  55|  35|  50|  35|  40|  35|FORCE PURE  |-------     |
188|FLORAVOL  |STEEL            |  65|  55|  80|  45|  50|  45|FORCE PURE  |-------     |PIERREFOUDRE (common)
189|COTOVOL   |STEEL            |  95|  75| 110|  55|  70|  55|FORCE PURE  |-------     |
190|CAPUMAIN  |DRAGON/PSYCHIC   |  70|  55|  55|  85|  55|  40|ESPRIT VITAL|-------     |
191|TOURNEGRIN|GROUND           |  30|  30|  30|  30|  30|  30|ARMURBASTON |-------     |BAIE STEKPA (rare)
192|HELIATRONC|GROUND/PSYCHIC   |  75|  75|  85|  55|  30| 105|ARMURBASTON |-------     |CENDRESACREE (common), CT16 (rare)
193|YANMA     |FIGHTING         |  45|  75|  65|  65|  45|  95|CRAN        |ATTENTION   |
194|AXOLOTO   |ELECTRIC         |  25|  55|  45|  45|  15|  25|GLISSADE    |-------     |
195|MARAISTE  |ELECTRIC         |  65|  95|  85|  85|  35|  65|GLISSADE    |-------     |
196|MENTALI   |ICE              |  95|  65| 130|  60|  65| 110|ECHAUFFEMENT|MOITEUR     |
197|NOCTALI   |ROCK/ELECTRIC    | 130| 110|  95|  60|  65|  65|RAMASSAGE   |-------     |
198|CORNEBRE  |GRASS/GROUND     |  85|  60|  42|  85|  42|  91|STATIK      |-------     |
199|ROIGADA   |DRAGON           |  30| 110|  95|  80|  75| 100|GLUE        |ESPRIT VITAL|
200|FEUFOREVE |WATER/GHOST      |  60|  60|  85|  85|  60|  85|TETE DE ROC |-------     |
201|ZARBI     |ICE              |  48|  48|  48|  72|  72|  48|GLUE        |COQUE ARMURE|HERBE RAPPEL (common)
202|QULBUTOKE |STEEL            |  33|  58|  33|  58| 190|  33|VENTOUSE    |-------     |LETTRE BULLE (common)
203|GIRAFARIG |FIRE/FIGHTING    |  65|  65|  85|  80|  90|  70|LEVITATION  |-------     |
204|POMDEPIK  |ROCK             |  90|  35|  65|  50|  35|  15|CACOPHONIE  |-------     |ATTAQUE + (rare)
205|FORETRESS |ROCK/FIGHTING    | 140|  60|  90|  75|  60|  40|CACOPHONIE  |-------     |CT30 (common), GLACETERNEL (rare)
206|INSOLOURDO|DRAGON           |  45| 100|  70|  65|  70|  65|COQUE ARMURE|PRESSION    |
207|SCORPLANE |POISON/PSYCHIC   |  65|  75|  35|  85|  65| 105|MUE         |-------     |POKé BALL (rare)
208|STEELIX   |ICE              |  55|  75| 200|  85|  30|  65|TORCHE      |-------     |
209|SNUBBULL  |GROUND/WATER     |  40|  40|  80|  60|  50|  30|MAGNEPIEGE  |MARQUE OMBRE|PERLE (rare)
210|GRANBULL  |GROUND/WATER     |  60|  60| 120|  90|  75|  45|MAGNEPIEGE  |MARQUE OMBRE|
211|QWILFISH  |DRAGON/POISON    |  95|  55|  85|  65|  75|  55|CALQUE      |GLUE        |
212|CIZAYOX   |ROCK/GHOST       | 130| 100|  70|  80|  65|  55|ECRAN FUMEE |SYNCHRO     |
213|CARATROC  |DRAGON           | 230|  10|  10|  20| 230|   5|ARMURBASTON |ABSORB VOLT |CUILLERTORDU (100%)
214|SCARHINO  |FLYING           |  95|  75|  85| 125|  80|  40|FORCE PURE  |LUMIATIRANCE|BAIE SITRUS (rare)
215|FARFURET  |WATER            |  95|  75| 115|  55|  35|  55|INSOMNIA    |FORCE PURE  |CT34 (rare)
216|TEDDIURSA |NORMAL/ICE       |  60|  50|  40|  50|  50|  80|ECRAN POUDRE|-------     |
217|URSARING  |NORMAL/ICE       |  90|  75|  55|  75|  75| 130|ECRAN POUDRE|-------     |
218|LIMAGMA   |WATER            |  40|  40|  70|  40|  40|  20|AGITATION   |-------     |POUDRECLAIRE (common)
219|VOLCAROPOD|WATER/ELECTRIC   | 120|  80|  80|  50|  50|  30|AGITATION   |-------     |
220|MARCACRIN |FIRE/ICE         |  50|  30|  50|  30|  40|  50|MOITEUR     |-------     |SEL TREFONDS (common)
221|COCHIGNON |FIRE/ICE         | 100|  60| 100|  60|  80|  50|MOITEUR     |-------     |
222|CORAYON   |NORMAL           |  65|  55|  55|  85|  35|  85|PRESSION    |-------     |
223|REMORAID  |DRAGON           |  35|  65|  65|  35|  65|  35|PRESSION    |INTIMIDATION|CROC DRAGON (common), HUILE (rare)
224|OCTILLERY |DRAGON           |  75| 105| 105|  75|  45|  75|PRESSION    |INTIMIDATION|
225|CADOIZO   |BUG/DARK         |  45|  45|  65|  45|  55|  75|SECHERESSE  |-------     |FLUTEBLANCHE (100%)
226|DEMANTA   |NORMAL/STEEL     | 140|  80|  70|  40|  65|  70|INSOMNIA    |ISOGRAISSE  |
